2025-03-07 16:58:14.546, FPS = 71.64396: Left Eye Position - X: 0.1072474, Y: 0.03423742, Z: -0.001839519, Gaze: (0.39, 0.19, 0.90) / Right Eye Position - X: 0.1681541, Y: 0.01764428, Z: -0.0251543, Gaze: (0.39, 0.19, 0.90)
2025-03-07 16:58:15.548, FPS = 72.27977: Left Eye Position - X: 0.08969752, Y: 0.02631559, Z: 0.04614327, Gaze: (0.44, 0.23, 0.87) / Right Eye Position - X: 0.1500195, Y: 0.01763109, Z: 0.01760596, Gaze: (0.44, 0.23, 0.87)
2025-03-07 16:58:16.551, FPS = 71.99032: Left Eye Position - X: 0.09337784, Y: 0.00758984, Z: 0.08965482, Gaze: (0.43, 0.20, 0.88) / Right Eye Position - X: 0.1540686, Y: 0.001829869, Z: 0.06115925, Gaze: (0.43, 0.20, 0.88)
2025-03-07 16:58:17.553, FPS = 72.07313: Left Eye Position - X: 0.08972122, Y: 0.003650576, Z: 0.07168456, Gaze: (0.43, 0.21, 0.88) / Right Eye Position - X: 0.1505073, Y: -0.0009477164, Z: 0.04318119, Gaze: (0.43, 0.21, 0.88)
2025-03-07 16:58:18.556, FPS = 71.52061: Left Eye Position - X: 0.08593784, Y: -0.01053509, Z: 0.08477081, Gaze: (0.44, 0.13, 0.89) / Right Eye Position - X: 0.1463312, Y: -0.01143154, Z: 0.05509959, Gaze: (0.44, 0.13, 0.89)
2025-03-07 16:58:19.558, FPS = 71.57137: Left Eye Position - X: 0.0910408, Y: -0.0310643, Z: 0.1112087, Gaze: (0.52, 0.03, 0.86) / Right Eye Position - X: 0.1481145, Y: -0.02316031, Z: 0.0764429, Gaze: (0.52, 0.03, 0.86)
2025-03-07 16:58:20.560, FPS = 71.83652: Left Eye Position - X: 0.09005891, Y: -0.03637659, Z: 0.1181765, Gaze: (0.51, 0.01, 0.86) / Right Eye Position - X: 0.1475387, Y: -0.02723149, Z: 0.08439819, Gaze: (0.51, 0.01, 0.86)
2025-03-07 16:58:21.562, FPS = 71.86797: Left Eye Position - X: 0.08948867, Y: -0.03594355, Z: 0.11826, Gaze: (0.49, 0.01, 0.87) / Right Eye Position - X: 0.1475373, Y: -0.02720745, Z: 0.0853575, Gaze: (0.49, 0.01, 0.87)
2025-03-07 16:58:22.564, FPS = 71.69628: Left Eye Position - X: 0.087418, Y: -0.03969825, Z: 0.1180951, Gaze: (0.49, -0.03, 0.87) / Right Eye Position - X: 0.1457336, Y: -0.03056459, Z: 0.08577771, Gaze: (0.49, -0.03, 0.87)
2025-03-07 16:58:23.567, FPS = 71.72023: Left Eye Position - X: 0.08943965, Y: -0.04063082, Z: 0.1183129, Gaze: (0.50, -0.03, 0.87) / Right Eye Position - X: 0.1473926, Y: -0.03161319, Z: 0.0853178, Gaze: (0.50, -0.03, 0.87)
